Country/Region,time,precipIntensityMax,temperatureLow,humidity,pressure
Afghanistan,12/31/2019,0.1515,32.13,0.6,1019.1
Afghanistan,1/1/2020,0.0985,28.9,0.9,1021.2
Afghanistan,1/2/2020,0.0062,28.8,0.76,1022.7
Afghanistan,1/3/2020,0.0012,32.84,0.69,1021.9
Afghanistan,1/4/2020,0.031,37.25,0.88,1016.1
Afghanistan,1/5/2020,0.0442,28.1,0.85,1016.7
Afghanistan,1/6/2020,0.0051,23.66,0.58,1022.7
Afghanistan,1/7/2020,0.0002,26.65,0.41,1025.3
Afghanistan,1/8/2020,0.0001,24.53,0.31,1023.1
Afghanistan,1/9/2020,0.0003,30.78,0.34,1023.4
Afghanistan,1/10/2020,0.034,31.64,0.76,1019.9
Afghanistan,1/11/2020,0.0954,25.23,0.89,1013.7
Afghanistan,1/12/2020,0.0065,20.15,0.78,1019.4
Afghanistan,1/13/2020,0,23.12,0.6,1022.7
Afghanistan,1/14/2020,0.0001,22.36,0.56,1025.7
Afghanistan,1/15/2020,0.0002,13.98,0.51,1026.9
Afghanistan,1/16/2020,0.0004,21.4,0.55,1027.7
Afghanistan,1/17/2020,0.0002,28.36,0.44,1027.1
Afghanistan,1/18/2020,0.0084,29.77,0.59,1022.7
Afghanistan,1/19/2020,0.0059,30.25,0.74,1019.7
Afghanistan,1/20/2020,0.0061,26.96,0.77,1022.8
Afghanistan,1/21/2020,0.0033,28.13,0.66,1028.3
Afghanistan,1/22/2020,0.0279,33.14,0.64,1025.7
Afghanistan,1/23/2020,0.1092,29.6,0.86,1019.7
Afghanistan,1/24/2020,0.0018,23.61,0.73,1021.8
Afghanistan,1/25/2020,0.0003,25.69,0.67,1020.5
Afghanistan,1/26/2020,0.0004,18.89,0.65,1019.5
Afghanistan,1/27/2020,0,18.55,0.5,1021.6
Afghanistan,1/28/2020,0.0003,21.53,0.4,1025.1
Afghanistan,1/29/2020,0.0003,24.28,0.42,1024.2
Afghanistan,1/30/2020,0.0002,23.94,0.52,1022
Afghanistan,1/31/2020,0.0003,24.89,0.57,1024.2
Afghanistan,2/1/2020,0.0016,31.77,0.52,1022.4
Afghanistan,2/2/2020,0.0762,19.35,0.83,1020
Afghanistan,2/3/2020,0.0003,22.44,0.56,1024.4
Afghanistan,2/4/2020,0.0003,24.43,0.49,1024.2
Afghanistan,2/5/2020,0,26.58,0.49,1025.3
Afghanistan,2/6/2020,0.0003,29.76,0.37,1025.7
Afghanistan,2/7/2020,0.0003,31.9,0.45,1024.7
Afghanistan,2/8/2020,0.0003,35.17,0.5,1022.4
