Date,Location,Aboard,Fatalities
1908-09-17,"Fort Myer, Virginia",2,1
1912-07-12,"AtlantiCity, New Jersey",5,5
1913-08-06,"Victoria, British Columbia, Canada",1,1
1913-09-09,Over the North Sea,20,14
1913-10-17,"Near Johannisthal, Germany",30,30
1915-03-05,"Tienen, Belgium",41,21
1915-09-03,"Off Cuxhaven, Germany",19,19
1916-07-28,"Near Jambol, Bulgeria",20,20
1916-09-24,"Billericay, England",22,22
1916-10-01,"Potters Bar, England",19,19
1916-11-21,"Mainz, Germany",28,27
1916-11-28,"Off West Hartlepool, England",20,20
1917-03-04,"Near Gent, Belgium",20,20
1917-03-30,Off Northern Germany,23,23
1917-05-14,"Near Texel Island, North Sea",21,21
1917-06-14,"Off Vlieland Island, North Sea",24,24
1917-08-21,Off western Denmark,18,18
1917-10-20,"Near Luneville, France",18,18
1918-04-07,Over the Mediterranean,23,23
1918-05-10,"Off Helgoland Island, Germany",22,22
1918-08-11,"Ameland Island, North Sea",19,19
1918-12-16,"Elizabeth, New Jersey",1,1
1919-05-25,"Cleveland, Ohio",1,1
1919-07-19,"Dix Run, Pennsylvania",1,1
1919-10-02,"Newcastle, England",1,1
1919-10-14,"Cantonsville, Maryland",1,1
1919-10-20,English Channel,,
1919-10-30,"Long Valley, New Jersey",1,1
1920-03-10,"New Paris, Indiana",1,1
1920-03-30,"Newark, New Jersey",1,1
1920-04-10,"Newark, New Jersey",2,1
1920-04-11,"Heller Field, New Jersey",2,1
1920-05-12,"Oskaloosa, Iowa",2,1
1920-06-06,"Cleveland, Ohio",1,1
1920-08-16,"Bedford, England",1,1
1920-08-16,"College Park, Maryland",1,1
1920-09-01,"Morristown, New Jersey",2,2
1920-09-15,"Pemberville, Ohio",2,2
1920-09-27,"Hillersburg, Pennsylvania",1,1
1920-10-02,"Off Port Vendres, France",2,2
1920-10-05,"Valencia, Spain",2,2
1920-10-15,"Batavia, Illinois",1,1
1920-11-07,"Tie Siding, Wyoming",1,1
1920-12-14,"Cricklewood, England",8,4
1920-12-24,"Barcelona, Spain",1,1
1921-02-03,"Mendotta, Minnisota",1,1
1921-02-09,"La Crosse, Wisconsin",3,3
1921-02-15,Off Gibraltar,2,2
1921-02-22,"Elko, Nevada",1,1
1921-04-06,"Point Cook, Australia",2,1
1921-04-21,"Mitchel Field, NY",1,1
1921-04-29,"Cleveland, Ohio",1,1
1921-05-17,"Rock Springs, Wyoming",1,1
1921-07-16,"San Francisco, California",1,1
1921-08-14,"Toulouse, France",2,2
1921-08-24,"River Humber, England",46,46
1921-09-06,"Paris, France",5,5
1921-12-05,"Near Murchinson River, Australia",3,3
1922-01-14,"Paris, France",5,5
1922-02-21,"Near Norfolk, Virginia",45,34
1922-04-07,"Grandvilliers, France",7,7
1922-04-08,"Pao Ting Fou, China",17,17
1922-04-13,"Brooklands, England",3,3
1925-10-01,"Nittany Mt, Ohio",1,1
1922-06-03,"Off Folkestone, Kent, England",3,3
1922-07-26,"Cadix, Spain",3,3
1922-09-07,"Indianapolis, Indiana",1,1
1922-10-02,"Venice, Italy",4,4
1922-10-25,"Larache, Morocco",2,2
1922-12-03,"Fez, Morocco",1,1
1923-01-10,"Ajaccio, France",4,3
1923-01-17,"Barcelona, Spain",1,1
1923-01-18,"Cheyenne, Wyoming",1,1
1923-02-26,"Meadville, Pennsylvania",1,1
1923-05-14,"Monsures, France",6,6
1923-08-27,"Bucharest, Romania",2,2
1923-09-07,"Colton, Ohio",1,1
1923-09-14,"Berks, England",6,6
1923-11-18,Russia,4,2
1923-12-06,"Castalia, Ohio",1,1
1923-12-23,Over the Mediterranean Sea,52,52
1923-12-24,"Egbert, WY",1,1
1924-03-07,"Grampian, Pennsylvania",1,1
1924-04-24,Over the English Channel,3,3
1924-06-08,"Barranquilla, Colombia",3,3
1924-08-01,United States,1,1
1924-11-06,"Cabrerolles, France",1,1
1924-12-21,"Goshen, Indiana",1,1
1924-12-24,"Purley, England",8,8
1925-03-22,"Near Tiflies, Georgia, USSR",5,5
1925-04-25,"Alicante, Spain",4,4
1925-05-25,"Alicante, Spain",2,2
1925-06-25,"Landrécies, France",4,4
1925-06-26,"Alicante, Spain",2,2
1925-07-20,"Rosas, Spain",1,1
1925-07-24,"Budapest, Hungary",1,1
1925-09-03,"Caldwell, Ohio",43,14
1925-09-07,"Toul, France",3,3
1925-11-14,"Off Boulogne-sur-Mer, France",2,2
1926-02-12,"Montpelier, Ohio",1,1
1926-03-08,"Staaken, Germany",1,1
1926-05-31,English Channel,1,1
1926-07-03,"Rossaugpt, Czechoslovakia",7,7
1926-07-09,"Wolvertem, Belgium",2,2
1926-07-24,"Juist, Germany",4,4
1926-08-18,"Hurst, Kent, England",4,4
1926-09-26,"New York, New York",5,2
1926-10-08,"Bueren, Germany",4,4
1926-10-21,English Channel,12,0
1926-11-11,"Cape Bojador, Morocco",3,3
1926-12-16,"Medford, Oregon",1,1
1927-01-12,"Lille, France",2,2
1927-03-20,"Rabat, Morocco",1,1
1927-03-24,"Tambo, Qld, Australia",3,3
1927-04-15,"King Hill, Idaho",1,1
1927-04-22,"Goshen, Indiana",1,1
1927-04-22,"Floh, Germany",2,2
1927-05-02,"Algiers, Algeria",3,1
1927-07-27,"Amoneburg, Germany",5,5
1927-08-22,"Sevenoaks, England",11,1
1927-09-03,"Willington, Connecticut",1,1
1927-09-17,"Hadley, New Jersey",12,7
1927-09-22,"Saale, Germany",4,2
1927-09-23,"Schleiz, Germany",6,6
1927-10-06,"Thies, Mauritania",2,2
1927-10-30,"New Brunswick, New Jersey",4,4
1927-11-16,"Strasburg, France",1,1
1927-11-16,Over the Gulf of Finland,6,6
1927-11-29,"Corunna, Indiana",1,1
1927-12-26,"Almeria, Spain",2,2
1927-12-28,"Abuerio, Spain",1,1
1927-12-31,France,4,4
1928-01-08,"Near Canajoharie, New York",3,3
1928-01-16,"Solis, Uruguay",2,2
1928-01-22,"Tarragona, Spain",2,2
1928-01-22,France,2,1
1928-01-27,"Almeria, Spain",1,1
1928-02-26,"Marquette, Nebraska",2,1
1928-03-03,"Rio de Janeiro, Brazil",10,10
1928-03-11,"Off Cape Griz Nez, France",2,2
1928-04-17,"Federal, Wyoming",2,1
1928-04-19,"Minuesa, Spain",9,9
1928-05-07,,1,1
1928-05-12,"Dearborn, Minnesota",2,2
1928-05-26,"Radevormwald, Germany",5,3
1928-06-14,"Frankfurt, Germany",5,5
1928-06-22,"Lebo, Kansas",1,1
1928-07-10,Over the Gulf of Finland,6,6
1928-07-13,"Purley, England",4,4
1928-07-24,"Waalhaven harbor, Netherlands",1,1
1928-08-25,"Near Port Townsend, BC, Canada",7,7
1928-09-02,"Toul, France",3,3
1928-09-04,"Adelaide Hills, Australia",2,1
1928-09-04,"Pocatello, Idaho",7,7
1928-09-06,"Heroldbach, Germany",3,3
1928-10-04,"Gerona, Spain",3,3
1928-10-18,"Polk, Pennsylvania",1,1
1928-10-31,"Valence, France",2,1
1928-11-15,Off Gibraltar,2,1
1928-11-24,"Edgerton, Ohio",3,3
1928-11-25,"Bristolville, Ohio",1,1
1928-11-25,"Edgerton, Ohio",3,3
1928-12-01,"Spur, Texas",5,5
1928-12-03,Brazil,14,14
1928-12-04,"Rio de Janeiro, Brazil",6,6
1928-12-11,"Letzlingen, Germany",4,3
1928-12-20,"Huron, Ohio",1,1
1928-12-23,"Chattanooga, Tennessee",4,4
1928-12-31,"Reims, France",3,2
1929-01-05,"Stafford Springs, Connecticut",1,1
1929-01-18,"Cove, Oregon",1,1
1929-01-25,"Near Corfu, Greece",9,2
1929-01-31,"Morgantown, West Virginia",1,1
1929-01-31,Off Morocco,2,2
1929-03-17,"Newark, New Jersey",15,14
1929-03-30,"Near Beaumont, California",4,4
1929-04-21,"San Diego, California",6,6
1929-05-18,Hungary,2,2
1929-05-22,Algiers,5,4
1929-06-10,"Santiago de Cuba, Cuba",5,2
1929-06-14,"Barcelona, Spain",2,1
1929-06-17,"Off Dungeness, England",13,7
1929-06-24,"St. Paul, Minnesota",8,1
1929-06-29,"Lake Constance, Switzerland",5,5
1929-06-29,"Columbus, Ohio",1,1
1929-08-11,"Clovis, New Mexico",4,4
1929-08-13,"Perpignan, France",1,1
1929-08-24,"Sochi, Russia",1,1
1929-08-24,"Elm, Germany",5,4
1929-09-02,"Needles, California",2,1
1929-09-03,"Mt. Taylor, New Mexico",8,8
1929-09-06,"Jask, Iran",5,3
