Date,Afghanistan
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,2
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,2
2020-03-10,1
2020-03-11,3
2020-03-12,1
2020-03-13,1
2020-03-14,2
2020-03-15,1
2020-03-16,3
2020-03-17,2
2020-03-18,4
2020-03-19,1
2020-03-20,4
2020-03-21,1
2020-03-22,5
2020-03-23,7
2020-03-24,2
2020-03-25,35
2020-03-26,5
2020-03-27,11
2020-03-28,17
2020-03-29,11
2020-03-30,28
2020-03-31,32
2020-04-01,22
2020-04-02,48
2020-04-03,39
2020-04-04,27
2020-04-05,45
2020-04-06,36
2020-04-07,57
2020-04-08,32
2020-04-09,44
2020-04-10,48
2020-04-11,24
2020-04-12,53
2020-04-13,61
2020-04-14,58
2020-04-15,79
2020-04-16,68
2020-04-17,111
2020-04-18,40
2020-04-19,85
2020-04-20,37
2020-04-21,81
2020-04-22,104
2020-04-23,72
2020-04-24,107
2020-04-25,137
2020-04-26,92
2020-04-27,191
2020-04-28,135
2020-04-29,136
2020-04-30,198
2020-05-01,218
2020-05-02,204
2020-05-03,262
2020-05-04,247
2020-05-05,359
2020-05-06,214
2020-05-07,183
2020-05-08,224
2020-05-09,297
2020-05-10,422
2020-05-11,286
2020-05-12,338
2020-05-13,302
2020-05-14,460
2020-05-15,485
2020-05-16,364
2020-05-17,297
2020-05-18,434
2020-05-19,635
2020-05-20,582
2020-05-21,545
2020-05-22,612
2020-05-23,837
2020-05-24,621
2020-05-25,614
2020-05-26,690
2020-05-27,642
2020-05-28,659
2020-05-29,684
2020-05-30,913
2020-05-31,713
2020-06-01,653
2020-06-02,789
2020-06-03,854
2020-06-04,856
2020-06-05,1101
2020-06-06,668
2020-06-07,866
2020-06-08,883
2020-06-09,1037
2020-06-10,1067
2020-06-11,1082
2020-06-12,1278
2020-06-13,834
2020-06-14,1208
2020-06-15,1207
2020-06-16,1140
2020-06-17,1227
2020-06-18,2202
2020-06-19,650
2020-06-20,897
2020-06-21,893
2020-06-22,399
2020-06-23,763
2020-06-24,864
2020-06-25,801
2020-06-26,416
2020-06-27,567
2020-06-28,2293
2020-06-29,1613
2020-06-30,488
2020-07-01,1867
2020-07-02,605
2020-07-03,1604
2020-07-04,2188
2020-07-05,519
2020-07-06,1010
2020-07-07,292
2020-07-08,748
2020-07-09,481
2020-07-10,335
2020-07-11,448
2020-07-12,182
2020-07-13,220
2020-07-14,359
2020-07-15,1288
2020-07-16,465
2020-07-17,518
2020-07-18,199
2020-07-19,552
2020-07-20,149
2020-07-21,115
2020-07-22,299
2020-07-23,848
2020-07-24,126
2020-07-25,261
2020-07-26,520
2020-07-27,134
2020-07-28,266
2020-07-29,137
2020-07-30,161
2020-07-31,172
2020-08-01,36
2020-08-02,3
2020-08-03,199
2020-08-04,36
2020-08-05,126
2020-08-06,211
2020-08-07,150
2020-08-08,102
2020-08-09,43
2020-08-10,346
2020-08-11,311
2020-08-12,365
2020-08-13,115
2020-08-14,80
2020-08-15,498
2020-08-16,53
2020-08-17,79
2020-08-18,47
2020-08-19,42
2020-08-20,619
2020-08-21,368
2020-08-22,59
2020-08-23,212
2020-08-24,237
2020-08-25,104
2020-08-26,648
2020-08-27,20
2020-08-28,25
2020-08-29,7
2020-08-30,48
2020-08-31,4
2020-09-01,180
2020-09-02,137
2020-09-03,120
2020-09-04,339
2020-09-05,389
2020-09-06,532
2020-09-07,119
2020-09-08,187
2020-09-09,359
2020-09-10,109
2020-09-11,59
2020-09-12,115
2020-09-13,479
2020-09-14,497
2020-09-15,69
2020-09-16,455
2020-09-17,19
2020-09-18,97
2020-09-19,22
2020-09-20,129
2020-09-21,33
2020-09-22,23
2020-09-23,84
2020-09-24,39
2020-09-25,16
2020-09-26,24
2020-09-27,42
2020-09-28,15
2020-09-29,121
2020-09-30,57
2020-10-01,70
2020-10-02,5
2020-10-03,11
2020-10-04,54
2020-10-05,112
2020-10-06,163
2020-10-07,132
2020-10-08,82
2020-10-09,79
2020-10-10,17
2020-10-11,150
2020-10-12,77
2020-10-13,249
