,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1987,0.167535,0.253906,0.266493,0.335938,0.361111,0.400174,0.353299,0.326389,0.409722,0.460069,0.342014,0.309028
1988,0.380208,0.394097,0.414931,0.388889,0.378472,0.404514,0.465278,0.414931,0.34375,0.355903,0.340278,0.329861
1989,0.371528,0.413194,0.416667,0.347222,0.384549,0.418403,0.368924,0.380208,0.409722,0.473958,0.567708,0.605035
1990,0.605903,0.642361,0.684028,0.762153,0.815972,1.017361,1.055556,0.920139,0.847222,0.899306,0.875,1.017361
1991,1.041667,1.375,1.430556,1.472222,1.368056,1.520833,1.432292,1.536458,1.770833,1.854167,1.947917,2.005208
1992,2.307292,2.463542,2.578125,2.442708,2.302083,2.510417,2.195313,2.273438,2.3125,2.5,2.78125,2.898438
1993,2.65625,2.695313,2.617188,2.890625,2.671875,2.90625,2.757813,2.335938,2.351563,2.578125,2.507813,2.515625
1994,2.515625,2.65625,2.59375,2.578125,2.898438,3.34375,3.226563,3.226563,3.5625,3.507813,3.921875,3.914063
1995,3.84375,3.710938,3.945313,4.4375,5.117188,5.3125,5.679688,5.671875,5.734375,5.65625,6.257813,5.445313
1996,5.492188,5.765625,6.148438,6.446289,7.054688,7.421875,7.515625,7.367188,7.625,8.234375,8.578125,9.84375
1997,10.390625,12.828125,12.125,11.265625,15.25,15.625,15.804688,17.671875,16.640625,16.5625,16.453125,17.742188
1998,16.203125,18.96875,21.46875,22.453125,22.546875,20.96875,27.28125,27.28125,23.8125,27.015625,26.59375,30.0625
1999,34.902344,43.859375,37.390625,45.625,40.71875,40.3125,44.9375,42.84375,46.15625,45.09375,46.625,45.53125
2000,58.6875,49.25,44.8125,47.21875,36.4375,32.1875,39.84375,34.96875,35,30.25,34.25,29.03125
2001,22.0625,30.40625,29.28125,27.40625,33.830002,34.799999,36.025002,33.400002,28.594999,25.469999,30.040001,31.915001
2002,33.325001,32.075001,29.525,29.915001,26.08,25.495001,27.059999,23.790001,24.26,22.16,26.215,29.325001
2003,26.15,23.965,24.02,24.459999,25.540001,24.98,25.59,26.33,26.700001,28.030001,26.35,25.9
2004,27.58,27.610001,26.629999,24.950001,26.190001,26.129999,28.700001,28.27,27.23,27.82,28.16,26.950001
2005,26.799999,26.25,25.190001,24.24,25.23,25.73,24.85,25.809999,27.379999,25.709999,25.610001,27.73
2006,26.25,27.959999,26.98,27.67,24.32,22.74,23.530001,24.02,25.889999,27.32,28.780001,29.23
2007,29.91,30.84,27.82,27.889999,29.940001,30.790001,29.67,28.950001,28.5,29.459999,36.529999,33.5
2008,35.790001,31.059999,27.24,28.83,28.5,28.24,27.27,25.92,27.67,26.379999,22.48,19.879999
2009,19.530001,17.030001,15.96,18.23,20.190001,21,24.049999,23.82,24.35,25.41,27.700001,29.52
2010,30.620001,28.389999,28.77,29.35,30.67,25.530001,23.09,25.99,23.67,24.77,26.879999,25.57
2011,28.049999,27.799999,26.6,25.530001,25.940001,24.99,25.93,27.51,26.459999,24.719999,26.190001,25.559999
2012,26.549999,29.790001,31.93,32.220001,32.049999,28.76,30.620001,29.59,30.450001,29.809999,28.84,26.780001
2013,27.25,27.67,27.719999,28.639999,32.93,34.919998,34.75,32.060001,31.75,33.349998,35.669998,38.09
2014,37.349998,37.740002,37.919998,41.150002,40.240002,40.950001,41.860001,43.209999,45.43,46.27,46.889999,47.880001
2015,46.66,40.59,43.669998,40.599998,48.580002,47.060001,44.459999,46.98,42.169998,44.75,52.849998,54.41
2016,54.32,54.880001,50.970001,55.049999,50,52.439999,51.130001,56.599998,57.009998,57.41,59.970001,60.110001
2017,62.790001,64.360001,64.129997,65.809998,68.68,70.239998,69.330002,73.099998,74.709999,74.709999,83.68,83.599998
2018,86.129997,94.790001,93.989998,90.470001,93.209999,99.279999,98.099998,106.029999,110.849998,114.75,107.050003,113
2019,99.550003,103.779999,112.889999,118.949997,130.529999,123.849998,136.630005,137,136.610001,139.660004,144.259995,151.809998
2020,158.779999,170.429993,165.309998,153,175.800003,182.539993,203.139999,211.520004,225.509995,213.490005,204.289993,214.509995
