Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
2014-09-14,"2,146","1,582","1,430",152
2014-09-15,"3,621","2,528","2,297",231
2014-09-16,"3,698","2,630","2,352",278
2014-09-17,"3,667","2,614","2,327",287
2014-09-18,"3,316","2,366","2,130",236
2014-09-19,"2,815","1,863","1,622",241
2014-09-20,"1,658","1,118",985,133
2014-09-21,"2,288","1,656","1,481",175
2014-09-22,"3,638","2,586","2,312",274
2014-09-23,"4,462","3,257","2,989",268
2014-09-24,"4,414","3,175","2,891",284
2014-09-25,"4,315","3,029","2,743",286
2014-09-26,"3,323","2,249","2,033",216
2014-09-27,"1,656","1,180","1,040",140
2014-09-28,"2,465","1,806","1,613",193
2014-09-29,"4,096","2,873","2,577",296
2014-09-30,"4,474","3,032","2,720",312
2014-10-01,"4,124","2,849","2,541",308
2014-10-02,"3,514","2,489","2,239",250
2014-10-03,"3,005","2,097","1,856",241
2014-10-04,"2,054","1,436","1,274",162
2014-10-05,"2,847","1,913","1,713",200
2014-10-06,"4,501","3,181","2,853",328
2014-10-07,"4,603","3,163","2,804",359
2014-10-08,"4,187","3,014","2,663",351
2014-10-09,"4,343","2,864","2,545",319
2014-10-10,"3,565","2,382","2,100",282
2014-10-11,"2,080","1,457","1,280",177
2014-10-12,"3,031","2,089","1,856",233
2014-10-13,"4,814","3,339","2,973",366
2014-10-14,"5,040","3,604","3,217",387
2014-10-15,"5,028","3,515","3,094",421
2014-10-16,"4,658","3,331","2,955",376
2014-10-17,"3,624","2,477","2,148",329
2014-10-18,"2,285","1,619","1,416",203
2014-10-19,"3,454","2,346","2,060",286
2014-10-20,"5,307","3,717","3,308",409
2014-10-21,"5,135","3,701","3,280",421
2014-10-22,"5,084","3,611","3,177",434
2014-10-23,"4,650","3,316","2,940",376
2014-10-24,"3,571","2,498","2,170",328
2014-10-25,"2,354","1,661","1,417",244
2014-10-26,"3,497","2,508","2,218",290
2014-10-27,"5,294","3,737","3,286",451
2014-10-28,"4,643","3,328","2,905",423
2014-10-29,"4,596","3,279","2,863",416
2014-10-30,"4,162","3,041","2,657",384
2014-10-31,"2,933","2,007","1,728",279
2014-11-01,"2,202","1,496","1,270",226
2014-11-02,"3,083","2,204","1,940",264
2014-11-03,"4,376","3,057","2,629",428
2014-11-04,"4,704","3,141","2,739",402
2014-11-05,"4,306","3,200","2,797",403
2014-11-06,"4,178","3,034","2,627",407
2014-11-07,"3,236","2,318","1,975",343
2014-11-08,"2,010","1,536","1,345",191
2014-11-09,"2,901","2,141","1,849",292
2014-11-10,"4,754","3,325","2,885",440
2014-11-11,"4,417","3,203","2,793",410
2014-11-12,"4,535","3,351","2,897",454
2014-11-13,"4,274","3,194","2,758",436
2014-11-14,"3,382","2,423","2,061",362
2014-11-15,"2,085","1,488","1,280",208
2014-11-16,"3,083","2,215","1,926",289
2014-11-17,"4,860","3,559","3,069",490
2014-11-18,"4,893","3,570","3,133",437
2014-11-19,"4,866","3,544","3,056",488
2014-11-20,"4,584","3,357","2,899",458
2014-11-21,"3,914","2,750","2,361",389
2014-11-22,"2,431","1,716","1,463",253
2014-11-23,"3,157","2,369","2,082",287
2014-11-24,"5,045","3,615","3,146",469
2014-11-25,"4,746","3,236","2,821",415
2014-11-26,"4,314","2,919","2,513",406
2014-11-27,"3,663","2,476","2,162",314
2014-11-28,"3,270","2,268","1,931",337
2014-11-29,"2,905","1,976","1,695",281
2014-11-30,"4,016","2,832","2,489",343
2014-12-01,"5,266","3,877","3,317",560
2014-12-02,"5,795","4,274","3,700",574
2014-12-03,"5,728","4,217","3,656",561
2014-12-04,"5,293","3,830","3,295",535
2014-12-05,"3,934","2,856","2,479",377
2014-12-06,"3,071","2,165","1,855",310
2014-12-07,"3,876","2,984","2,582",402
2014-12-08,"5,878","4,375","3,829",546
2014-12-09,"5,712","4,187","3,635",552
2014-12-10,"5,491","4,074","3,480",594
2014-12-11,"5,144","3,801","3,247",554
2014-12-12,"3,880","2,860","2,418",442
2014-12-13,"2,605","1,838","1,538",300
2014-12-14,"3,625","2,650","2,259",391
2014-12-15,"4,685","3,478","3,000",478
2014-12-16,"4,891","3,338","2,861",477
2014-12-17,"4,222","3,053","2,606",447
2014-12-18,"3,691","2,690","2,275",415
2014-12-19,"2,748","1,879","1,559",320
2014-12-20,"1,380","1,011",836,175
2014-12-21,"1,474","1,054",876,178
2014-12-22,"2,452","1,715","1,394",321
2014-12-23,"2,298","1,440","1,159",281
2014-12-24,"1,430",947,772,175
2014-12-25,"1,002",667,522,145
2014-12-26,"1,486","1,005",808,197
2014-12-27,"1,345",941,781,160
2014-12-28,"1,453",948,765,183
2014-12-29,"2,173","1,472","1,228",244
2014-12-30,"2,208","1,424","1,172",252
2014-12-31,"1,381",955,773,182
2015-01-01,"1,265",876,715,161
2015-01-02,"1,948","1,288","1,030",258
2015-01-03,"1,742","1,096",946,150
2015-01-04,"1,896","1,409","1,186",223
2015-01-05,"3,033","2,062","1,706",356
2015-01-06,"3,445","2,327","1,942",385
2015-01-07,"3,423","2,384","1,991",393
2015-01-08,"3,319","2,272","1,922",350
2015-01-09,"2,783","1,941","1,663",278
2015-01-10,"1,952","1,240","1,066",174
2015-01-11,"2,245","1,611","1,391",220
2015-01-12,"3,928","2,518","2,125",393
2015-01-13,"3,810","2,621","2,239",382
2015-01-14,"3,931","2,656","2,229",427
2015-01-15,"3,523","2,457","2,069",388
2015-01-16,"2,943","1,928","1,640",288
2015-01-17,"1,751","1,237","1,052",185
2015-01-18,"2,491","1,762","1,541",221
2015-01-19,"3,766","2,665","2,271",394
2015-01-20,"4,194","2,852","2,423",429
2015-01-21,"4,038","2,916","2,482",434
2015-01-22,"3,891","2,702","2,334",368
2015-01-23,"3,111","2,181","1,897",284
2015-01-24,"1,946","1,414","1,239",175
2015-01-25,"2,802","2,010","1,740",270
2015-01-26,"3,892","2,841","2,466",375
2015-01-27,"4,172","3,003","2,592",411
2015-01-28,"4,464","3,280","2,862",418
2015-01-29,"4,377","3,143","2,679",464
2015-01-30,"3,734","2,514","2,129",385
2015-01-31,"2,262","1,657","1,443",214
2015-02-01,"3,050","2,122","1,825",297
2015-02-02,"4,794","3,366","2,867",499
2015-02-03,"4,936","3,423","2,922",501
2015-02-04,"5,016","3,500","3,023",477
2015-02-05,"4,489","3,170","2,753",417
2015-02-06,"3,505","2,468","2,075",393
2015-02-07,"2,264","1,679","1,437",242
2015-02-08,"3,314","2,435","2,100",335
2015-02-09,"5,095","3,619","3,125",494
2015-02-10,"5,525","3,793","3,272",521
2015-02-11,"5,074","3,689","3,190",499
2015-02-12,"4,571","3,319","2,810",509
2015-02-13,"3,570","2,664","2,253",411
2015-02-14,"2,182","1,565","1,323",242
2015-02-15,"3,265","2,277","1,935",342
