Month,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
1950-01,0.1484487,0.73890513,-0.5606461,2.974336,-2.8185382,-1.578263,5.249344,-7.3491564,-3.5022678,7.7544866,-7.6144176,1.9872142,-7.1298614,-7.6712933
1950-02,2.5653746,3.8059587,4.1691694,4.5042057,2.951973,2.4942327,9.267065,-0.42315522,1.3868951,9.2926035,-3.5365493,3.850469,-1.5924817,-2.4794846
1950-03,,5.498752,4.865165,7.3632264,4.261615,3.5536997,10.44384,0.5846785,2.4865649,11.294529,-2.2940028,6.2318673,-0.8995095,-1.9900297
1950-04,11.421365,12.814824,11.978558,14.929044,12.243175,10.323239,17.47818,8.420933,8.893488,17.460072,5.3310566,13.80826,6.6979,5.631164
1950-05,14.292004,15.80521,13.926484,18.06691,15.148561,13.025274,19.482203,10.578538,11.942502,19.687439,8.296318,16.861408,8.88309,8.045633
1950-06,19.178923,20.656029,19.333138,22.426489,20.203768,17.152231,25.160254,14.413485,15.929286,25.195242,12.576114,21.17053,13.572213,12.434988
1950-07,21.955576,23.604078,23.08332,24.056202,23.541643,21.132166,28.62004,19.648365,21.219244,28.928053,15.416013,23.008615,17.566494,16.385271
1950-08,19.439926,21.034788,19.699247,22.181812,20.115664,17.838709,25.4664,15.516032,17.028088,26.323772,12.816596,21.362843,14.06148,13.016614
1950-09,17.591663,19.105326,17.707237,20.138044,18.12952,16.87477,23.288368,14.811197,16.187864,24.594574,12.07197,19.733284,12.495263,12.184958
1950-10,9.283891,10.515936,8.412303,13.829548,8.505531,7.4870186,13.706773,4.645259,5.3060937,14.747489,3.5689733,13.000554,3.1666694,2.6526659
1950-11,2.2105901,3.1670182,2.8645658,4.438166,1.7881296,1.8640348,8.128187,-0.52527726,0.28215113,9.916153,-3.671327,4.032514,-2.5761356,-3.2751148
1950-12,-2.920661,-2.302056,-2.7846844,0.5330249,-4.7607894,-3.795519,2.5245333,-7.959765,-5.901634,4.2536516,-9.505766,-0.38516718,-9.00011,-9.650882
