Date,Close/Last,Volume,Open,High,Low
2016-06-14,50,42568290,$49.90 ,$50.10 ,$49.57 
2016-06-15,50,33718830,$49.78 ,$50.12 ,$49.69 
2016-06-16,50,31104460,$49.52 ,$50.47 ,$49.51 
2016-06-17,50,45675100,$50.41 ,$50.43 ,$49.82 
2016-06-20,50,35597220,$50.64 ,$50.83 ,$50.03 
2016-06-21,51,34075570,$50.20 ,$51.43 ,$50.16 
2016-06-22,51,28801660,$51.08 ,$51.46 ,$50.95 
2016-06-23,52,28960330,$51.28 ,$52.06 ,$51.15 
2016-06-24,50,133456500,$49.81 ,$50.94 ,$49.52 
2016-06-27,48,50308070,$49.10 ,$49.15 ,$48.04 
2016-06-28,49,38132040,$48.92 ,$49.47 ,$48.67 
2016-06-29,51,31287260,$49.91 ,$50.72 ,$49.80 
2016-06-30,51,28524020,$50.72 ,$51.30 ,$50.50 
2016-07-01,51,21398770,$51.13 ,$51.72 ,$51.07 
2016-07-05,51,24781550,$50.83 ,$51.28 ,$50.74 
2016-07-06,51,28165990,$50.78 ,$51.54 ,$50.39 
2016-07-07,51,19582210,$51.42 ,$51.61 ,$51.07 
2016-07-08,52,28390820,$51.73 ,$52.36 ,$51.55 
2016-07-11,53,21894550,$52.50 ,$52.83 ,$52.47 
2016-07-12,53,27312600,$52.94 ,$53.40 ,$52.79 
2016-07-13,54,25334860,$53.56 ,$53.86 ,$53.18 
2016-07-14,54,24535370,$53.84 ,$53.99 ,$53.58 
2016-07-15,54,31986450,$53.95 ,$54 ,$53.21 
2016-07-18,54,31087650,$53.70 ,$54.34 ,$53.55 
2016-07-19,53,51870970,$53.71 ,$53.90 ,$52.93 
2016-07-20,56,89835200,$56.15 ,$56.84 ,$55.53 
2016-07-21,56,32752350,$55.98 ,$56.23 ,$55.76 
2016-07-22,57,31900840,$56.08 ,$56.63 ,$55.78 
2016-07-25,57,24313330,$56.47 ,$56.74 ,$56.26 
2016-07-26,57,28028820,$56.52 ,$57.29 ,$56.51 
2016-07-27,56,32283520,$56.61 ,$56.80 ,$56.11 
2016-07-28,56,37246140,$56 ,$56.37 ,$55.72 
2016-07-29,57,30556950,$56.26 ,$56.76 ,$56.05 
2016-08-01,57,26003110,$56.60 ,$56.75 ,$56.14 
2016-08-02,57,35115250,$56.85 ,$56.90 ,$56.31 
2016-08-03,57,22069790,$56.68 ,$57.11 ,$56.49 
2016-08-04,57,26485600,$56.80 ,$57.52 ,$56.67 
2016-08-05,58,28804780,$57.65 ,$58.21 ,$57.45 
2016-08-08,58,19459340,$58.06 ,$58.09 ,$57.78 
2016-08-09,58,16891750,$58.17 ,$58.50 ,$58.02 
2016-08-10,58,15702720,$58.16 ,$58.32 ,$57.82 
2016-08-11,58,18161190,$58.03 ,$58.45 ,$58.03 
2016-08-12,58,21646690,$58.03 ,$58.19 ,$57.62 
2016-08-15,58,18764820,$58.01 ,$58.50 ,$57.96 
2016-08-16,57,20452960,$57.61 ,$57.62 ,$57.27 
2016-08-17,58,18798940,$57.54 ,$57.68 ,$57.23 
2016-08-18,58,14211810,$57.42 ,$57.70 ,$57.27 
2016-08-19,58,17271010,$57.43 ,$57.73 ,$57.20 
2016-08-22,58,15215880,$57.60 ,$57.75 ,$57.26 
2016-08-23,58,18722560,$57.90 ,$58.18 ,$57.85 
2016-08-24,58,17118420,$57.80 ,$58.04 ,$57.72 
2016-08-25,58,18551890,$57.88 ,$58.29 ,$57.78 
2016-08-26,58,20935160,$58.28 ,$58.70 ,$57.69 
2016-08-29,58,16388470,$58.18 ,$58.60 ,$58.10 
2016-08-30,58,16900190,$57.98 ,$58.19 ,$57.61 
2016-08-31,57,20844280,$57.65 ,$57.80 ,$57.30 
2016-09-01,58,26053530,$57.01 ,$57.82 ,$57.01 
2016-09-02,58,18897210,$57.67 ,$58.19 ,$57.42 
2016-09-06,58,16264890,$57.78 ,$57.80 ,$57.21 
2016-09-07,58,17484810,$57.47 ,$57.84 ,$57.41 
2016-09-08,57,20109050,$57.63 ,$57.79 ,$57.18 
2016-09-09,56,35026930,$56.79 ,$57.52 ,$56.21 
2016-09-12,57,29266780,$56 ,$57.21 ,$55.61 
2016-09-13,57,30062330,$56.50 ,$56.65 ,$56.05 
2016-09-14,56,24265700,$56.39 ,$56.63 ,$56.03 
2016-09-15,57,27049520,$56.15 ,$57.35 ,$55.98 
2016-09-16,57,44603890,$57.63 ,$57.63 ,$56.75 
2016-09-19,57,20919450,$57.27 ,$57.75 ,$56.85 
2016-09-20,57,17347740,$57.35 ,$57.35 ,$56.75 
2016-09-21,58,33623490,$57.51 ,$57.85 ,$57.08 
2016-09-22,58,19821760,$57.92 ,$58 ,$57.63 
2016-09-23,57,19941140,$57.87 ,$57.91 ,$57.38 
2016-09-26,57,21184750,$57.08 ,$57.14 ,$56.83 
2016-09-27,58,28029780,$56.93 ,$58.06 ,$56.68 
2016-09-28,58,20523320,$57.88 ,$58.06 ,$57.67 
2016-09-29,57,25389600,$57.81 ,$58.17 ,$57.21 
2016-09-30,58,29877820,$57.57 ,$57.77 ,$57.34 
2016-10-03,57,19156410,$57.41 ,$57.55 ,$57.06 
2016-10-04,57,20061950,$57.27 ,$57.60 ,$56.97 
2016-10-05,58,16708620,$57.29 ,$57.96 ,$57.26 
2016-10-06,58,16194470,$57.74 ,$57.86 ,$57.28 
2016-10-07,58,20062440,$57.85 ,$57.98 ,$57.42 
2016-10-10,58,18085830,$57.91 ,$58.39 ,$57.87 
2016-10-11,57,26483780,$57.89 ,$58.02 ,$56.89 
2016-10-12,57,22157100,$57.11 ,$57.27 ,$56.40 
2016-10-13,57,25217590,$56.70 ,$57.30 ,$56.32 
2016-10-14,57,27221480,$57.12 ,$57.74 ,$57.12 
2016-10-17,57,23829490,$57.36 ,$57.46 ,$56.87 
2016-10-18,58,18862790,$57.53 ,$57.95 ,$57.41 
2016-10-19,58,22840410,$57.47 ,$57.84 ,$57.40 
2016-10-20,57,48880910,$57.50 ,$57.52 ,$56.66 
2016-10-21,60,80008400,$60.28 ,$60.45 ,$59.49 
2016-10-24,61,54039610,$59.94 ,$61 ,$59.93 
2016-10-25,61,35119480,$60.85 ,$61.37 ,$60.80 
2016-10-26,61,29908240,$60.81 ,$61.20 ,$60.47 
2016-10-27,60,28444550,$60.61 ,$60.83 ,$60.09 
2016-10-28,60,33569190,$60.01 ,$60.52 ,$59.58 
2016-10-31,60,26418340,$60.16 ,$60.42 ,$59.92 
2016-11-01,60,24474870,$59.97 ,$60.02 ,$59.25 
2016-11-02,59,22118490,$59.82 ,$59.93 ,$59.30 
2016-11-03,59,21448620,$59.53 ,$59.64 ,$59.11 
2016-11-04,59,28693430,$58.65 ,$59.28 ,$58.52 
2016-11-07,60,31652340,$59.78 ,$60.52 ,$59.78 
2016-11-08,60,22923800,$60.55 ,$60.78 ,$60.15 
2016-11-09,60,49588490,$60 ,$60.59 ,$59.20 
2016-11-10,59,57770560,$60.48 ,$60.49 ,$57.63 
2016-11-11,59,35932400,$58.23 ,$59.12 ,$58.01 
2016-11-14,58,41248640,$59.02 ,$59.08 ,$57.28 
2016-11-15,59,35850360,$58.33 ,$59.49 ,$58.32 
2016-11-16,60,27329530,$58.94 ,$59.66 ,$58.81 
2016-11-17,61,32084890,$60.41 ,$60.95 ,$59.97 
2016-11-18,60,27210170,$60.78 ,$61.14 ,$60.30 
2016-11-21,61,19638240,$60.50 ,$60.97 ,$60.42 
2016-11-22,61,23205870,$60.98 ,$61.26 ,$60.81 
2016-11-23,60,21847500,$61.01 ,$61.10 ,$60.25 
2016-11-25,61,8409616,$60.30 ,$60.53 ,$60.13 
2016-11-28,61,20604370,$60.34 ,$61.02 ,$60.21 
2016-11-29,61,22365860,$60.65 ,$61.41 ,$60.52 
2016-11-30,60,34641520,$60.86 ,$61.18 ,$60.22 
2016-12-01,59,34518030,$60.11 ,$60.15 ,$58.94 
